Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
       54   2.25000       5.46159       5.06466       4.54810      0.564339E-01  0.199215E-02   0.00000       6.89621      -21.3506      -21.2206       55.2048       0.00000      -338.232       3.13002      0.584141      0.225734       4.64258     -0.457094       0.00000       0.00000       0.00000       0.00000    
       55   2.29167       5.46757       5.06902       4.54801      0.421719E-01  0.148867E-02   0.00000       87.4086      -11.3441      -16.5586       200.575       0.00000      -338.261       3.15372      0.584183      0.226201       4.64249     -0.456098       0.00000       0.00000       0.00000       0.00000    
       56   2.33333       5.50519       5.08914       4.54801      0.440917E-01  0.155633E-02   0.00000       429.747      -3.35100      -11.3432       336.232       0.00000      -338.444       3.12740      0.584160      0.211594       4.64544     -0.502804       0.00000       0.00000       0.00000       0.00000    
       57   2.37500       5.61050       5.14273       4.54801       0.00000      0.599536E-04   0.00000       273.844      0.107323E-01 -0.660430E-01   504.309       0.00000      -338.956       3.00981      0.584135      0.183051       4.65121     -0.615633       0.00000       0.00000       0.00000       0.00000    
       58   2.41667       5.76831       5.19709       4.54801       0.00000      0.609073E-04   0.00000       75.3942      0.280932E-01 -0.665306E-01   632.327       0.00000      -339.724       2.42746      0.584135      0.136893       4.66057     -0.897882       0.00000       0.00000       0.00000       0.00000    
       59   2.45833       5.91980       5.24646       4.54801       0.00000      0.627166E-04   0.00000       42.0974      0.453836E-01 -0.669518E-01   719.766       0.00000      -340.463       1.95148      0.584135      0.778145E-01   4.67261      -1.74849       0.00000       0.00000       0.00000       0.00000    
       60   2.50000       6.08072       5.29964       4.54801       0.00000      0.649354E-04   0.00000       125.014      0.626599E-01 -0.675532E-01   728.434       0.00000      -341.249       1.55909      0.584135      0.174126E-01   4.68499      -8.59019       0.00000       0.00000       0.00000       0.00000    
       61   2.54167       6.25703       5.35972       4.54801       0.00000      0.641827E-04   0.00000       187.678      0.684368E-01 -0.695046E-01   675.935       0.00000      -342.111       1.23618      0.584135      0.769363E-01   4.67271      -1.76996       0.00000       0.00000       0.00000       0.00000    
       62   2.58333       6.43204       5.42006       4.54801       0.00000      0.633646E-04   0.00000       157.840      0.743608E-01 -0.714641E-01   600.064       0.00000      -342.969      0.983210      0.584135      0.222259E-01   4.68393      -6.67777       0.00000       0.00000       0.00000       0.00000    
       63   2.62500       6.58906       5.47337       4.54801       0.00000      0.627922E-04   0.00000       135.809      0.803924E-01 -0.731722E-01   476.117       0.00000      -343.740      0.784709      0.584135      0.781664E-01   4.67240      -1.73770       0.00000       0.00000       0.00000       0.00000    
       64   2.66667       6.71933       5.51617       4.54801       0.00000      0.651818E-04   0.00000       106.417      0.647193E-01 -0.723254E-01   344.760       0.00000      -344.381      0.627968      0.584135      0.477453E-01   4.67863      -2.98746       0.00000       0.00000       0.00000       0.00000    
       65   2.70833       6.82188       5.54784       4.54801       0.00000      0.676084E-04   0.00000       91.9546      0.494470E-01 -0.710647E-01   206.996       0.00000      -344.886      0.498716      0.584135      0.888573E-01   4.67018      -1.50139       0.00000       0.00000       0.00000       0.00000    
       66   2.75000       6.89651       5.56881       4.54801       0.00000      0.699629E-04   0.00000       119.528      0.345731E-01 -0.694030E-01   28.7556       0.00000      -345.254      0.393137      0.584135      0.879064E-01   4.67038      -1.52005       0.00000       0.00000       0.00000       0.00000    
       67   2.79167       6.94312       5.57930       4.54801      0.988911E-01  0.348102E-02   0.00000       47.6211       3.97715      -26.3674       0.00000       0.00000      -345.484      0.307831      0.584135      0.109070       4.66604      -1.18172       0.00000       0.00000       0.00000       0.00000    
       68   2.83333       6.92201       5.58272       4.54680      0.117667      0.414212E-02   0.00000       151.530      -4.76156      -34.7457       0.00000       0.00000      -345.380      0.424927      0.584175      0.126945       4.66239     -0.994357       0.00000       0.00000       0.00000       0.00000    
       69   2.87500       6.91200       5.59342       4.54626      0.136544      0.480670E-02   0.00000       289.959      -16.6603      -43.7868       0.00000       0.00000      -345.330      0.562005      0.584233      0.141813       4.65936     -0.870925       0.00000       0.00000       0.00000       0.00000    
       70   2.91667       6.91788       5.61382       4.54668      0.133322      0.469326E-02   0.00000       184.986      -22.6308      -44.2748       0.00000       0.00000      -345.360      0.718446      0.584312      0.155273       4.65662     -0.773186       0.00000       0.00000       0.00000       0.00000    
       71   2.95833       6.91011       5.62685       4.54629      0.129985      0.457583E-02   0.00000       33.8602      -28.2223      -44.5496       0.00000       0.00000      -345.321      0.868078      0.584389      0.166412       4.65436     -0.709118       0.00000       0.00000       0.00000       0.00000    
       72   3.00000       6.88232       5.62927       4.54472      0.127821      0.449991E-02  0.118591E-02  -14.7195      -33.7651      -45.0031       0.00000       0.00000      -345.184       1.01246      0.584464      0.175307       4.65255     -0.671658       0.00000       0.00000       0.00000       0.00000    
       73   3.04167       6.86798       5.62829       4.54396      0.119544      0.420864E-02  0.137028E-02  -21.6214      -34.8725      -43.1002       0.00000       0.00000      -345.113       1.06858      0.584539      0.184206       4.65074     -0.633063       0.00000       0.00000       0.00000       0.00000    
       74   3.08333       6.84810       5.62682       4.54286      0.111479      0.392484E-02  0.102502E-02  -8.49794      -35.5799      -41.0291       0.00000       0.00000      -345.015       1.14590      0.584605      0.192061       4.64915     -0.604364       0.00000       0.00000       0.00000       0.00000    
       75   3.12500       6.84073       5.62626       4.54248      0.103638      0.364883E-02  0.124648E-02  -14.9383      -35.8859      -38.9349       0.00000       0.00000      -344.979       1.17528      0.584664      0.200113       4.64752     -0.573188       0.00000       0.00000       0.00000       0.00000    
       76   3.16667       6.82817       5.62526       4.54180      0.905194E-01  0.318704E-02   0.00000       6.75398      -28.9302      -32.5406       0.00000       0.00000      -344.917       1.22451      0.584715      0.207302       4.64607     -0.549243       0.00000       0.00000       0.00000       0.00000    
       77   3.20833       6.81035       5.62577       4.54080      0.775116E-01  0.272915E-02   0.00000       27.1310      -22.5689      -26.4312       0.00000       0.00000      -344.829       1.31252      0.584754      0.213709       4.64477     -0.531261       0.00000       0.00000       0.00000       0.00000    
       78   3.25000       6.79972       5.62771       4.54021      0.653951E-01  0.230258E-02   0.00000       33.2985      -17.6839      -21.7084       34.5067       0.00000      -344.777       1.38088      0.584783      0.220224       4.64345     -0.511939       0.00000       0.00000       0.00000       0.00000    
       79   3.29167       6.79924       5.63248       4.53949      0.739360E-01  0.260331E-02   0.00000       49.2191      -11.6358      -21.1298       118.861       0.00000      -344.775       1.43099      0.584804      0.222771       4.64294     -0.507087       0.00000       0.00000       0.00000       0.00000    
       80   3.33333       6.81216       5.64424       4.53788      0.828263E-01  0.291627E-02   0.00000       114.616      -4.26909      -20.7016       197.543       0.00000      -344.838       1.48979      0.584832      0.215744       4.64436     -0.538955       0.00000       0.00000       0.00000       0.00000    
       81   3.37500       6.84458       5.66607       4.53593      0.899801E-01  0.316795E-02   0.00000       134.529       4.76226      -19.2155       341.359       0.00000      -344.998       1.55429      0.584866      0.200962       4.64735     -0.605402       0.00000       0.00000       0.00000       0.00000    
       82   3.41667       6.89960       5.69932       4.53270       0.00000      0.814902E-04   0.00000       128.318      0.419283E-01 -0.535457E-01   427.273       0.00000      -345.269       1.62530      0.584906      0.171349       4.65334     -0.768799       0.00000       0.00000       0.00000       0.00000    
       83   3.45833       7.07990       5.73811       4.53270       0.00000      0.900306E-04   0.00000       105.224      0.672237E-01 -0.462146E-01   485.889       0.00000      -346.159       1.21461      0.584906      0.138205       4.66006      -1.00632       0.00000       0.00000       0.00000       0.00000    
       84   3.50000       7.25908       5.77939       4.53270       0.00000      0.976916E-04   0.00000       157.131      0.924995E-01 -0.389765E-01   597.099       0.00000      -347.046      0.881136      0.584906      0.101023       4.66764      -1.45855       0.00000       0.00000       0.00000       0.00000    
       85   3.54167       7.45327       5.83208       4.53270       0.00000      0.101772E-03   0.00000       267.770      0.100303     -0.319842E-01   553.991       0.00000      -348.008      0.622843      0.584906      0.566453E-01   4.67671      -2.77611       0.00000       0.00000       0.00000       0.00000    
       86   3.58333       7.64556       5.88962       4.53270       0.00000      0.105623E-03   0.00000       211.629      0.108122     -0.250179E-01   491.919       0.00000      -348.963      0.434847      0.584906      0.939398E-01   4.66905      -1.58496       0.00000       0.00000       0.00000       0.00000    
       87   3.62500       7.80674       5.93882       4.53270       0.00000      0.109414E-03   0.00000       133.276      0.116366     -0.175947E-01   344.358       0.00000      -349.765      0.300466      0.584906      0.627145E-01   4.67544      -2.48533       0.00000       0.00000       0.00000       0.00000    
       88   3.66667       7.92044       5.97232       4.53270       0.00000      0.104292E-03   0.00000       135.505      0.105484     -0.868188E-02   249.814       0.00000      -350.331      0.205899      0.584906      0.977195E-01   4.66825      -1.51476       0.00000       0.00000       0.00000       0.00000    
       89   3.70833       8.00798       5.99932       4.53270       0.00000      0.990075E-04   0.00000       150.584      0.949780E-01  0.649493E-03   150.779       0.00000      -350.768      0.144578      0.584906      0.923287E-01   4.66936      -1.61624       0.00000       0.00000       0.00000       0.00000    
       90   3.75000       8.07436       6.02049       4.53270       0.00000      0.937128E-04   0.00000       172.267      0.847743E-01  0.102804E-01   32.5128       0.00000      -351.099      0.104228      0.584906      0.994032E-01   4.66791      -1.48531       0.00000       0.00000       0.00000       0.00000    
       91   3.79167       8.11979       6.03494       4.53270       0.00000      0.883217E-04   0.00000       156.330      0.605485E-01 -0.760118E-04   0.00000       0.00000      -351.326      0.772458E-01  0.584906      0.117540       4.66420      -1.22168       0.00000       0.00000       0.00000       0.00000    
       92   3.83333       8.15375       6.04599       4.53270       0.00000      0.841178E-04   0.00000       146.243      0.366259E-01 -0.102639E-01   0.00000       0.00000      -351.496      0.589303E-01  0.584906      0.135044       4.66063      -1.03444       0.00000       0.00000       0.00000       0.00000    
       93   3.87500       8.18382       6.05632       4.53270      0.126455      0.444072E-02   0.00000       129.413       5.76108      -8.89216       0.00000       0.00000      -351.646      0.461462E-01  0.584906      0.149584       4.65767     -0.912271       0.00000       0.00000       0.00000       0.00000    
       94   3.91667       8.14450       6.06546       4.53048      0.142932      0.501973E-02   0.00000       125.759       5.48653      -9.94366       0.00000       0.00000      -351.450      0.202233      0.584950      0.160417       4.65546     -0.850828       0.00000       0.00000       0.00000       0.00000    
       95   3.95833       8.09995       6.07435       4.52796      0.162228      0.569789E-02   0.00000       182.862       5.14866      -11.0024       0.00000       0.00000      -351.227      0.374473      0.585008      0.169802       4.65356     -0.807702       0.00000       0.00000       0.00000       0.00000    
       96   4.00000       8.05862       6.08723       4.52566      0.183768      0.645493E-02   0.00000       220.955       4.48607      -12.0483       0.00000       0.00000      -351.021      0.565670      0.585085      0.178472       4.65180     -0.771760       0.00000       0.00000       0.00000       0.00000    
       97   4.04167       8.01697       6.10278       4.52338      0.173837      0.610659E-02   0.00000       189.179       4.31520      -8.50523       0.00000       0.00000      -350.813      0.778316      0.585187      0.186417       4.65019     -0.742798       0.00000       0.00000       0.00000       0.00000    
       98   4.08333       7.97849       6.11610       4.52129      0.165249      0.580534E-02   0.00000       540.428       4.05374      -5.27822       0.00000       0.00000      -350.621      0.972613      0.585282      0.193925       4.64867     -0.717286       0.00000       0.00000       0.00000       0.00000    
       99   4.12500       7.99797       6.15406       4.52253      0.159267      0.559497E-02   0.00000       637.021       3.39790      -2.84543       0.00000       0.00000      -350.718       1.14434      0.585371      0.204054       4.64662     -0.664056       0.00000       0.00000       0.00000       0.00000    
      100   4.16667       8.03567       6.19879       4.52481      0.133887      0.470305E-02   0.00000       305.466      0.423915      -4.02822       0.00000       0.00000      -350.906       1.29944      0.585455      0.214567       4.64449     -0.609106       0.00000       0.00000       0.00000       0.00000    
      101   4.20833       8.03774       6.22026       4.52501      0.109657      0.385191E-02   0.00000       118.146      -1.50533      -4.38636       0.00000       0.00000      -350.916       1.42162      0.585515      0.222366       4.64291     -0.579016       0.00000       0.00000       0.00000       0.00000    
      102   4.25000       8.02391       6.22859       4.52428      0.876060E-01  0.307740E-02   0.00000       96.6555      -2.58399      -4.22985       59.6316       0.00000      -350.847       1.51410      0.585556      0.228755       4.64162     -0.560164       0.00000       0.00000       0.00000       0.00000    
      103   4.29167       8.02690       6.23956       4.52335       0.00000      0.692092E-04   0.00000       227.127      0.304624E-01  0.212342E-01   195.709       0.00000      -350.862       1.57410      0.585582      0.229097       4.64156     -0.563440       0.00000       0.00000       0.00000       0.00000    
      104   4.33333       8.21178       6.26915       4.52335       0.00000      0.729308E-04   0.00000       221.997      0.666348E-01  0.533537E-01   322.599       0.00000      -351.786       1.22915      0.585582      0.217969       4.64380     -0.603451       0.00000       0.00000       0.00000       0.00000    
      105   4.37500       8.40278       6.30722       4.52335       0.00000      0.796677E-04   0.00000       272.912      0.102533      0.851776E-01   460.542       0.00000      -352.742      0.947635      0.585582      0.195425       4.64835     -0.698503       0.00000       0.00000       0.00000       0.00000    
