datetime,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA,dens__NA
2020-05-07 00:00:00,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69,999.69
2020-05-08 00:00:00,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67
2020-05-09 00:00:00,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67
2020-05-10 00:00:00,999.66,999.66,999.65,999.65,999.65,999.65,999.65,999.65,999.65,999.65,999.65,999.66,999.66,999.66,999.66,999.66,999.67,999.67,999.67,999.67,999.67,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68,999.68
2020-05-11 00:00:00,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67
2020-05-12 00:00:00,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66
2020-05-13 00:00:00,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.64,999.64,999.64,999.65,999.65,999.65,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.66,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67,999.67
2020-05-14 00:00:00,999.63,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.62,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63,999.63
2020-05-15 00:00:00,999.55,999.56,999.56,999.56,999.56,999.56,999.56,999.56,999.56,999.57,999.57,999.57,999.57,999.58,999.58,999.58,999.58,999.58,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.6,999.6,999.6,999.6,999.6,999.6,999.6,999.6,999.6,999.6,999.6,999.6,999.61,999.61,999.61,999.61,999.61,999.61,999.61,999.61,999.61,999.61
2020-05-16 00:00:00,999.49,999.49,999.49,999.49,999.49,999.49,999.49,999.49,999.5,999.51,999.51,999.52,999.52,999.53,999.54,999.54,999.55,999.55,999.55,999.56,999.56,999.56,999.57,999.57,999.57,999.57,999.58,999.58,999.58,999.58,999.58,999.58,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.59,999.59
