datetime,Depth_meter,Water_Temperature_celsius
2020-10-15,0.5,14.325
2020-10-16,0.5,13.9666666666667
2020-10-17,0.5,13.4708333333333
2020-10-18,0.5,13.2416666666667
2020-10-19,0.5,12.9208333333333
2020-10-20,0.5,12.4791666666667
2020-10-21,0.5,12.4583333333333
2020-10-22,0.5,12.3041666666667
2020-10-23,0.5,12
2020-10-24,0.5,11.675
2020-10-25,0.5,11.3041666666667
2020-10-26,0.5,10.9333333333333
2020-10-27,0.5,10.8
2020-10-28,0.5,10.4125
2020-10-29,0.5,10.1166666666667
2020-10-30,0.5,9.90833333333333
2020-10-31,0.5,9.7125
2020-11-01,0.5,9.49166666666667
2020-11-02,0.5,8.975
2020-11-03,0.5,8.91666666666667
2020-11-04,0.5,9.09583333333333
2020-11-05,0.5,9.34166666666667
2020-11-06,0.5,9.675
2020-11-07,0.5,9.4875
2020-11-08,0.5,9.57083333333333
2020-11-09,0.5,9.87083333333333
2020-11-10,0.5,9.99583333333333
2020-11-11,0.5,9.84583333333333
2020-11-12,0.5,9.67916666666667
2020-11-13,0.5,9.4875
2020-11-14,0.5,9.10833333333333
2020-11-15,0.5,8.9375
2020-11-16,0.5,8.5
2020-11-17,0.5,8.10833333333333
2020-11-18,0.5,7.90416666666667
2020-11-19,0.5,7.77916666666667
2020-11-20,0.5,7.675
2020-11-21,0.5,7.66
2020-04-03,1,4.27916666666667
2020-04-04,1,4.47083333333333
2020-04-05,1,5.175
2020-04-06,1,5.46666666666667
2020-04-07,1,5.45416666666667
2020-04-08,1,5.39166666666667
2020-04-09,1,5.5125
2020-04-10,1,5.64166666666667
2020-04-11,1,5.94166666666667
2020-04-12,1,6.0875
2020-04-13,1,5.85833333333333
2020-04-14,1,5.69583333333333
2020-04-15,1,5.6
2020-04-16,1,5.64166666666667
2020-04-17,1,5.82916666666667
2020-04-18,1,5.79583333333333
2020-04-19,1,6.4125
2020-04-20,1,6.625
2020-04-21,1,6.60833333333333
2020-04-22,1,6.8875
2020-04-23,1,7.00416666666667
2020-04-24,1,7.1625
2020-04-25,1,7.30833333333333
2020-04-26,1,7.62916666666667
2020-04-27,1,7.9125
2020-04-28,1,7.70416666666667
2020-04-29,1,7.82083333333333
2020-04-30,1,7.75833333333333
2020-05-01,1,8.8
2020-05-02,1,8.8875
2020-05-03,1,9.71666666666667
2020-05-04,1,9.9875
2020-05-05,1,9.79166666666667
2020-05-06,1,9.9625
2020-05-07,1,10.1666666666667
2020-05-08,1,10.3041666666667
2020-05-09,1,10.2958333333333
2020-05-10,1,10.1166666666667
2020-05-11,1,9.99166666666667
2020-05-12,1,10.3041666666667
2020-05-13,1,10.4416666666667
2020-05-14,1,10.3666666666667
2020-05-15,1,11.8166666666667
2020-05-16,1,12.4958333333333
2020-05-17,1,10.6416666666667
2020-05-18,1,10.8041666666667
2020-05-19,1,11.7916666666667
2020-05-20,1,11.9666666666667
2020-05-21,1,12.5166666666667
2020-05-22,1,13.6333333333333
2020-05-23,1,13.6208333333333
2020-05-24,1,13.8208333333333
2020-05-25,1,16.0333333333333
2020-05-26,1,16.7625
2020-05-27,1,17.35
2020-05-28,1,19.2458333333333
2020-05-29,1,19.35
2020-05-30,1,18.7541666666667
2020-05-31,1,18.5833333333333
2020-06-01,1,17.95
2020-06-02,1,18.4708333333333
2020-06-03,1,19.5666666666667
2020-06-04,1,21.3583333333333
2020-06-05,1,22.4208333333333
2020-06-06,1,22.6291666666667
2020-06-07,1,21.375
2020-06-08,1,21.25
2020-06-09,1,21.7125
2020-06-10,1,20.7333333333333
2020-06-11,1,19.7958333333333
2020-06-12,1,20.1583333333333
2020-06-13,1,19.9291666666667
2020-06-14,1,19.6083333333333
2020-06-15,1,19.6
2020-06-16,1,19.8708333333333
2020-06-17,1,20.875
2020-06-18,1,21.3166666666667
2020-06-19,1,22.2708333333333
2020-06-20,1,23.2875
2020-06-21,1,23.3708333333333
2020-06-22,1,23.4208333333333
2020-06-23,1,22.9208333333333
2020-06-24,1,22.6583333333333
2020-06-25,1,22.8416666666667
2020-06-26,1,23.2041666666667
2020-06-27,1,23.1125
2020-06-28,1,24.3708333333333
2020-06-29,1,23.6166666666667
