"Depth_Target","DateTime_Start","DateTime_End","Depthm","TempC","SpConduScm","ChlorophyllRFU","ChlorophyllugL","BGAPCRFU","BGAPCugL","TurbidityFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","Presspsia","NITRATE_UM","NITRATE_MG","ABS_254","ABS_350","T_INT","T_SPEC","T_LAMP","NITRATE_UM_corrected","sampledate","NITRATE_uM_corrected","Dataset"
5,"2017-10-29 15:45:00","2017-10-29 15:46:00",5.0282,13.0850833333333,543.345,0.405666666666667,1.7105,0.655,0.662833333333333,1.32516666666667,13.0651666666667,37.4985,61.8183333333333,6.49166666666667,7.76,7.14841666666667,10.145,0.14,0.111666666666667,0.03,18.2,18.2333333333333,18.8,10.145,2017-10-29,10.145,"Quinn"
6,"2017-10-29 15:47:00","2017-10-29 15:48:00",6.05093333333333,13.0770333333333,543.266666666667,0.413,1.74033333333333,0.631833333333333,0.639833333333333,1.3555,13.0731666666667,37.5223333333333,61.76,6.48616666666667,7.76,8.60238333333333,10.1466666666667,0.14,0.11,0.03,18.2,18.1166666666667,18.8,10.1466666666667,2017-10-29,10.1466666666667,"Quinn"
7,"2017-10-29 15:49:00","2017-10-29 15:50:00",6.99761666666667,13.0698666666667,543.143333333333,0.411166666666667,1.734,0.636,0.643833333333333,1.2625,13.0803333333333,37.5441666666667,61.7,6.48,7.76,9.94835,10.1383333333333,0.14,0.111666666666667,0.03,18.2,18.0333333333333,18.7666666666667,10.1383333333333,2017-10-29,10.1383333333333,"Quinn"
8,"2017-10-29 15:51:00","2017-10-29 15:52:00",8.07738333333333,13.0749166666667,543.173333333333,0.396333333333333,1.67283333333333,0.630666666666667,0.639166666666667,1.30116666666667,13.0663333333333,37.5021666666667,61.8333333333333,6.49533333333333,7.76,11.4835166666667,10.135,0.14,0.11,0.03,18.2,17.9,18.75,10.135,2017-10-29,10.135,"Quinn"
9,"2017-10-29 15:53:00","2017-10-29 15:54:00",9.04356666666667,13.0674666666667,543.193333333333,0.416166666666667,1.75316666666667,0.637333333333333,0.645333333333333,1.30866666666667,13.0856666666667,37.559,61.7466666666667,6.48716666666667,7.76016666666667,12.8571666666667,10.1533333333333,0.14,0.111666666666667,0.03,18.1833333333333,17.85,18.7666666666667,10.1533333333333,2017-10-29,10.1533333333333,"Quinn"
10,"2017-10-29 15:55:00","2017-10-29 15:56:00",10.0706833333333,13.0636166666667,543.183333333333,0.3955,1.66783333333333,0.602333333333333,0.6085,1.32066666666667,13.0906666666667,37.5728333333333,61.7333333333333,6.4895,7.76,14.3174666666667,10.144,0.14,0.11,0.03,18.1,17.8,18.78,10.144,2017-10-29,10.144,"Quinn"
11,"2017-10-29 15:57:00","2017-10-29 15:58:00",11.1108666666667,13.0516666666667,543.05,0.398833333333333,1.68366666666667,0.606,0.6115,1.27,13.1035,37.6096666666667,61.8,6.49516666666667,7.76,15.79645,10.172,0.14,0.11,0.03,18.1,17.7,18.74,10.172,2017-10-29,10.172,"Quinn"
12,"2017-10-29 15:59:00","2017-10-29 16:00:00",12.0626666666667,12.9997833333333,542.5,0.390666666666667,1.651,0.6085,0.614,1.28183333333333,13.1488333333333,37.7401666666667,62.4216666666667,6.5665,7.77,17.1497,10.248,0.14,0.11,0.03,18.1,17.62,18.7,10.248,2017-10-29,10.248,"Quinn"
13,"2017-10-29 16:01:00","2017-10-29 16:02:00",13.0727833333333,12.9822166666667,542.426666666667,0.368333333333333,1.56116666666667,0.6075,0.615166666666667,1.29016666666667,13.1533333333333,37.7491666666667,62.8,6.61,7.77,18.58585,10.304,0.14,0.11,0.03,18.1,17.6,18.7,10.304,2017-10-29,10.304,"Quinn"
14,"2017-10-29 16:03:00","2017-10-29 16:04:00",14.0466666666667,12.9724666666667,542.255,0.3955,1.671,0.601833333333333,0.608666666666667,1.2305,13.1426666666667,37.721,63.2533333333333,6.6575,7.78,19.9705666666667,10.32,0.142,0.11,0.03,18.1,17.54,18.7,10.32,2017-10-29,10.32,"Quinn"
15,"2017-10-29 16:05:00","2017-10-29 16:06:00",15.0451166666667,12.9523,542.078333333333,0.372333333333333,1.57583333333333,0.6105,0.617666666666667,1.28716666666667,13.1438333333333,37.7231666666667,63.67,6.70583333333333,7.78,21.3902833333333,10.406,0.15,0.11,0.03,18.1,17.48,18.64,10.406,2017-10-29,10.406,"Quinn"
16,"2017-10-29 16:07:00","2017-10-29 16:08:00",16.0822333333333,12.90745,541.783333333333,0.348166666666667,1.47816666666667,0.601,0.606833333333333,1.28616666666667,13.1476666666667,37.736,65.0516666666667,6.857,7.79766666666667,22.8649,10.5566666666667,0.15,0.11,0.03,18.1,17.4,18.6,10.5566666666667,2017-10-29,10.5566666666667,"Quinn"
17,"2017-10-29 16:09:00","2017-10-29 16:10:00",17.1537,12.889,541.623333333333,0.339666666666667,1.4465,0.614166666666667,0.620666666666667,1.298,13.147,37.7323333333333,66.0216666666667,6.96266666666667,7.81,24.3882333333333,10.6583333333333,0.15,0.11,0.03,18.0166666666667,17.4,18.6,10.6583333333333,2017-10-29,10.6583333333333,"Quinn"
18,"2017-10-29 16:11:00","2017-10-29 16:12:00",18.05045,12.8487333333333,541.503333333333,0.352333333333333,1.49583333333333,0.63,0.636666666666667,1.22983333333333,13.151,37.7468333333333,66.69,7.04183333333333,7.81,25.6634833333333,10.8483333333333,0.15,0.11,0.03,18,17.3833333333333,18.6,10.8483333333333,2017-10-29,10.8483333333333,"Quinn"
19,"2017-10-29 16:13:00","2017-10-29 16:14:00",19.0711833333333,12.7914166666667,541.745,0.359,1.523,0.6155,0.622166666666667,1.22866666666667,13.1675,37.7946666666667,66.6666666666667,7.04666666666667,7.81,27.11495,11.0466666666667,0.153333333333333,0.11,0.03,17.9333333333333,17.3,18.6,11.0466666666667,2017-10-29,11.0466666666667,"Quinn"
20,"2017-10-29 16:15:00","2017-10-29 16:16:00",20.0868666666667,12.76355,542.02,0.355166666666667,1.50966666666667,0.617833333333333,0.624,1.2515,13.2003333333333,37.8861666666667,66.295,7.01116666666667,7.81,28.5593166666667,11.2133333333333,0.16,0.11,0.03,17.9,17.2166666666667,18.5,11.2133333333333,2017-10-29,11.2133333333333,"Quinn"
21,"2017-10-29 16:17:00","2017-10-29 16:18:00",21.14195,12.7370833333333,542.411666666667,0.347,1.47533333333333,0.623333333333333,0.631,1.2505,13.2156666666667,37.9308333333333,65.7516666666667,6.9565,7.8,30.0596,11.3833333333333,0.16,0.11,0.03,17.9,17.2,18.5,11.3833333333333,2017-10-29,11.3833333333333,"Quinn"
22,"2017-10-29 16:19:00","2017-10-29 16:20:00",22.0861333333333,12.6889833333333,542.793333333333,0.3455,1.46766666666667,0.629,0.6365,1.25733333333333,13.2505,38.0311666666667,65.0466666666667,6.89216666666667,7.79,31.40225,11.555,0.16,0.11,0.03,17.9,17.2,18.4,11.555,2017-10-29,11.555,"Quinn"
0,"2017-11-03 15:39:00","2017-11-03 15:40:00",0.335216666666667,11.4134,545.81,0.287833333333333,1.23883333333333,0.453,0.452666666666667,1.10216666666667,13.3105,38.2041666666667,75.45,8.22816666666667,7.93816666666667,0.47665,11.88,0.17,0.11,0.03,17.2,19.18,17.88,11.88,2017-11-03,11.88,"Quinn"
1,"2017-11-03 15:41:00","2017-11-03 15:42:00",0.957766666666667,11.4188333333333,545.801666666667,0.2995,1.2815,0.499,0.501333333333333,1.12466666666667,13.3428333333333,38.2941666666667,74.8666666666667,8.1645,7.9575,1.36183333333333,11.835,0.17,0.11,0.03,17.2,18.85,17.65,11.835,2017-11-03,11.835,"Quinn"
