!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2020-01-10 01:00:00	2.2165063	0	98106.82	1.4900146	96.042411	0.67989142	0	0
2020-01-10 02:00:00	2.0443581	0	98131.523	1.2400146	95.903148	0.6443238	0	0
2020-01-10 03:00:00	2.1002143	0	98156.32	0.99001465	95.744074	0.60875618	0	0
2020-01-10 04:00:00	2.5284185	0	98270	0.36998901	96.163148	0.57318856	0	0
2020-01-10 05:00:00	3.0129389	0	98383.477	-0.2500061	96.440831	0.53762094	0	0
2020-01-10 06:00:00	3.5131895	0	98497.062	-0.85999146	96.483057	0.50205333	0	0
2020-01-10 07:00:00	3.3868127	0	98592.398	-1.0400146	94.432197	0.46648571	0	0
2020-01-10 08:00:00	3.3049811	0	98687.102	-1.2099976	92.238932	0.43091809	42.736	0
2020-01-10 09:00:00	3.2557641	0	98782.344	-1.3899902	90.022981	0.39535047	185.45599	0
2020-01-10 10:00:00	3.5900556	0	98791.578	-0.57999268	83.046848	0.35978285	281.664	0
2020-01-10 11:00:00	3.9606313	0	98799.977	0.21999512	76.655771	0.4341702	360.229	0
2020-01-10 12:00:00	4.3515629	0	98808.922	1.0200134	70.741798	0.74010551	318.01801	0
2020-01-10 13:00:00	4.3522982	0	98849.562	0.96999512	71.5471	0.75085979	292.05399	0
2020-01-10 14:00:00	4.3590021	0	98890.297	0.92000732	72.350496	0.77454228	246.63499	0
2020-01-10 15:00:00	4.3616512	0	98930.938	0.86998901	73.161818	0.81683842	168.608	0
2020-01-10 16:00:00	4.9003674	0	98837.758	-0.060003662	77.957097	0.91150475	68.015999	9.1111112e-12
2020-01-10 17:00:00	5.4299998	0	98744.922	-0.98999634	83.108704	0.9128744	0	2.5711111e-10
2020-01-10 18:00:00	5.960302	0	98652.523	-1.919989	88.637312	0.91424406	0	1.8288889e-10
2020-01-10 19:00:00	6.5604877	0	98672.523	-2.2800049	90.044704	0.91561372	0	2.3844444e-10
2020-01-10 20:00:00	7.163693	0	98692.523	-2.65	91.538193	0.91698337	0	2.6533334e-10
2020-01-10 21:00:00	7.7692988	0	98712.523	-3.0099854	92.976448	0.91835303	0	2.9911111e-10
2020-01-10 22:00:00	7.619987	0	98637.68	-3.4	92.821117	0.91972269	0	4.5622223e-10
